from_stop_id,to_stop_id,transfer_type,min_transfer_time
50141,50140,2,60
50141,47118,2,180
50141,46191,2,180
50141,46088,2,60
50141,44038,2,60
50141,39054,2,60
50141,35954,2,180
50141,35834,2,60
50141,34350,2,60
50141,32503,2,60
50141,32502,2,60
50141,2230,2,60
50141,2226,2,60
50141,2206,2,180
50140,47118,2,180
50140,46191,2,180
50140,46088,2,60
50140,44038,2,60
50140,39054,2,60
50140,35954,2,180
50140,35834,2,60
50140,34350,2,60
50140,32503,2,60
50140,32502,2,60
50140,2230,2,60
50140,2226,2,60
50140,2206,2,180
50131,50129,2,60
50131,46962,2,60
50131,46961,2,60
50131,46960,2,60
50131,39996,2,60
50131,37274,2,60
50131,37216,2,60
50131,37170,2,60
50131,37169,2,60
50129,46962,2,60
50129,46961,2,60
50129,46960,2,60
50129,39996,2,60
50129,37274,2,60
48139,48121,2,60
48099,47914,2,60
48099,46061,2,180
48099,46060,2,180
48099,1515,2,60
48099,1513,2,60
48099,1512,2,60
48099,1511,2,60
48099,1509,2,60
48099,1508,2,60
48099,1507,2,60
48099,1505,2,60
48139,48098,2,60
48139,48097,2,60
48139,48096,2,60
48139,48089,2,60
48139,48088,2,60
48139,48087,2,60
47987,2176,2,60
47914,46061,2,180
47914,46060,2,180
47914,1515,2,60
47914,1513,2,60
47914,1512,2,60
47914,1511,2,60
47914,1509,2,60
47914,1508,2,60
47914,1507,2,60
47914,1505,2,60
47868,39391,2,180
47868,39390,2,180
47690,46206,2,180
47690,41197,2,180
47690,35676,2,180
47685,46962,2,240
47685,46961,2,240
47685,46960,2,180
47685,46526,2,120
47685,41196,2,120
47685,41195,2,120
47685,39996,2,180
47685,37274,2,180
47685,37216,2,120
47685,37170,2,120
47685,37169,2,120
47685,36434,2,180
47685,36394,2,180
47685,35669,2,120
47685,35668,2,120
47647,46206,2,120
47647,41197,2,120
47647,35676,2,120
47600,30186,2,180
47600,30185,2,180
47595,47296,2,120
47595,47295,2,120
47595,30552,2,60
47545,32125,2,180
47545,32124,2,180
47545,30551,2,60
579,47432,2,60
47424,39407,2,180
47424,39406,2,180
47418,46526,2,180
47418,41196,2,180
47418,41195,2,180
47418,35669,2,180
47418,35668,2,180
47684,47402,2,120
579,47384,2,60
47378,47377,2,60
47339,45261,2,180
47339,45260,2,180
47323,47306,2,60
47323,47305,2,60
47310,47309,2,60
47310,32161,2,180
47310,32160,2,180
47309,32161,2,180
47309,32160,2,180
47308,47307,2,60
47306,47305,2,60
47304,47303,2,60
47302,47301,2,60
47300,47299,2,60
47298,47297,2,60
47298,39381,2,60
47298,39380,2,60
47297,39381,2,60
47297,39380,2,60
47296,47295,2,60
47294,47293,2,60
47292,47291,2,60
47290,47289,2,60
47287,46310,2,180
47287,46190,2,180
47287,46189,2,180
47287,46160,2,60
47287,46159,2,60
47287,46032,2,180
47287,46031,2,180
47236,30206,2,180
47236,30205,2,180
47298,47213,2,120
47297,47213,2,120
47213,39381,2,180
47213,39380,2,180
47118,32121,2,180
47118,32120,2,180
47112,46052,2,120
47112,42743,2,120
47112,30156,2,120
47084,45862,2,180
47084,45861,2,180
47084,1889,2,60
47072,39393,2,180
47072,39392,2,180
47004,32123,2,180
47004,32122,2,180
46962,46526,2,180
46962,41196,2,180
