route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
J205,1,JD205,Etablissements scolaires Croix-Rousse (Lyon 1er & 4ème),SCO,713,17297B,
J206,1,JD206,Etablissements scolaires Croix-Rousse (Lyon 1er & 4ème),SCO,713,17297B,
J207,1,JD207,Etablissements scolaires Croix-Rousse (Lyon 1er),SCO,713,17297B,
J208,1,JD208,Etablissements scolaires Croix-Rousse (Lyon 1er),SCO,713,17297B,
J209,1,JD209,Etablissements scolaires Croix-Rousse (Lyon 1er & 4ème),SCO,713,17297B,
J221,1,JD221,Collège Jules Michelet (Vénissieux),SCO,713,17297B,
J242,1,JD242,Collège de La Sidoine (Trévoux),SCO,713,17297B,
J244,1,JD244,Collège de La Sidoine (Trévoux),SCO,713,17297B,
J251,1,JD251,Sainte-Marie Lyon (La Verpillière),SCO,713,17297B,
J252,1,JD252,Sainte-Marie Lyon (La Verpillière),SCO,713,17297B,
J253,1,JD253,Sainte-Marie Lyon (La Verpillière),SCO,713,17297B,
J254,1,JD254,Sainte-Marie Lyon (La Verpillière),SCO,713,17297B,
J260,1,JD260,St-Thom. d'Aquin & ND Bon Conseil (Oullins & St-Genis-Laval),SCO,713,17297B,
J261,1,JD261,St-Thom. d'Aquin & ND Bon Conseil (Oullins & St-Genis-Laval),SCO,713,17297B,
J262,1,JD262,St-Thom. d'Aquin & ND Bon Conseil (Oullins & St-Genis-Laval),SCO,713,17297B,
J263,1,JD263,St-Thom. d'Aquin & ND Bon Conseil (Oullins & St-Genis-Laval),SCO,713,17297B,
